product_id,product_name,category,sub_category,brand,material,size,finish,color,unit,cost_price,selling_price,stock_quantity,is_active
P1015,Asian Granito Beige Black Marble 8x4 ft,Marble Slabs,Black Marble,Asian Granito,Natural Marble,8x4 ft,Glossy,Beige,Piece,956.86,1318.46,445,Yes
P1034,Nitco Charcoal Pedestal Basin 22x16 in,Wash Basins,Pedestal Basin,Nitco,Marble Composite,22x16 in,Honed,Charcoal,Piece,1955.99,2889.86,155,No
P1021,Nitco Beige Colonial Gold Granite 9x5 ft,Granite Slabs,Colonial Gold Granite,Nitco,Natural Granite,9x5 ft,Glossy,Beige,Piece,297.7,479.49,230,No
P1029,Cera Blue-Grey Semi-Recessed Basin 16x11 in,Wash Basins,Semi-Recessed Basin,Cera,Ceramic,16x11 in,Textured,Blue-Grey,Piece,4081.99,5539.1,124,Yes
P1054,Johnson Brown Highlighter Tiles 100x300 mm,Mosaic & Border Tiles,Highlighter Tiles,Johnson,Stone,100x300 mm,Honed,Brown,Box,123.98,177.02,450,Yes
P1033,Somany Sand Semi-Recessed Basin 22x16 in,Wash Basins,Semi-Recessed Basin,Somany,Marble Composite,22x16 in,Matte,Sand,Piece,1233.13,2158.06,303,Yes
P1060,Varmora White Garden Pavers 400x400 mm,Outdoor & Paver Tiles,Garden Pavers,Varmora,Vitrified,400x400 mm,Textured,White,Box,86.73,129.76,359,Yes
P1051,Varmora Cream Highlighter Tiles 295x295 mm,Mosaic & Border Tiles,Highlighter Tiles,Varmora,Ceramic,295x295 mm,Matte,Cream,Box,112.9,188.54,355,Yes
P1006,Somany Ivory Anti-Skid Tiles 800x800 mm,Floor Tiles,Anti-Skid Tiles,Somany,Porcelain,800x800 mm,Glossy,Ivory,Box,109.88,147.09,457,Yes
P1035,Orientbell White One-Piece Toilet Standard,Sanitaryware,One-Piece Toilet,Orientbell,Vitreous China,Standard,Glossy,White,Piece,5571.97,9670.8,154,Yes
P1059,Simpolo White Cool Roof Tiles 300x300 mm,Outdoor & Paver Tiles,Cool Roof Tiles,Simpolo,Concrete,300x300 mm,Polished,White,Box,49.76,72.77,428,No
P1053,Cera Black Highlighter Tiles 300x300 mm,Mosaic & Border Tiles,Highlighter Tiles,Cera,Stone,300x300 mm,Textured,Black,Box,158.97,214.82,476,No
P1032,Orientbell Brown Counter Top Basin 20x14 in,Wash Basins,Counter Top Basin,Orientbell,Ceramic,20x14 in,Matte,Brown,Piece,5608.6,8120.08,333,Yes
P1036,Bell Ceramics Beige Urinal Wall-Mounted,Sanitaryware,Urinal,Bell Ceramics,Vitreous China,Wall-Mounted,Glossy,Beige,Piece,3554.64,4892.01,482,Yes
P1001,Nitco Beige Vitrified Tiles 600x1200 mm,Floor Tiles,Vitrified Tiles,Nitco,Vitrified,600x1200 mm,Matte,Beige,Box,96.97,133.12,64,No
P1044,Varmora Sand Bath Tub Spout Standard,Bathroom Fittings,Bath Tub Spout,Varmora,Stainless Steel,Standard,Matte,Sand,Piece,457.86,718.54,286,Yes
P1052,Johnson Black Glass Mosaic 295x295 mm,Mosaic & Border Tiles,Glass Mosaic,Johnson,Glass,295x295 mm,Honed,Black,Box,119.58,180.78,489,Yes
P1003,Orientbell Grey Ceramic Tiles 300x300 mm,Floor Tiles,Ceramic Tiles,Orientbell,Porcelain,300x300 mm,Glossy,Grey,Box,84.2,136.23,99,Yes
